graph_name,test_type,time,result
2-02,2D_mesh,0.031705617904663086,Success
2-03,2D_mesh,0.031792402267456055,Success
2-04,2D_mesh,0.03248000144958496,Success
2-05,2D_mesh,0.031824350357055664,Success
2-06,2D_mesh,0.03177237510681152,Success
2-07,2D_mesh,0.03182864189147949,Success
2-08,2D_mesh,0.031812429428100586,Success
2-09,2D_mesh,0.032845497131347656,Success
2-10,2D_mesh,0.032774925231933594,Success
2-11,2D_mesh,0.06420540809631348,Success
2-12,2D_mesh,0.06399393081665039,Success
2-13,2D_mesh,0.06419253349304199,Success
3-03,2D_mesh,0.031815290451049805,Success
3-04,2D_mesh,0.031861066818237305,Success
3-05,2D_mesh,0.03179502487182617,Success
3-06,2D_mesh,0.03182792663574219,Success
3-07,2D_mesh,0.06395792961120605,Success
3-08,2D_mesh,0.11398983001708984,Success
4-04,2D_mesh,0.03183269500732422,Success
4-05,2D_mesh,0.06390380859375,Success
4-06,2D_mesh,0.21419191360473633,Success
5-05,2D_mesh,0.3645162582397461,Success
