graph_name,test_type,time,result
A-A,circle,0.03177213668823242,Success
A-B,circle,0.03216195106506348,Success
A-C,circle,0.032297611236572266,Success
A-D,circle,0.032460689544677734,Success
A-E,circle,0.032428741455078125,Success
A-F,circle,0.0325314998626709,Success
A-G,circle,0.03257036209106445,Success
A-H,circle,0.03255510330200195,Success
A-I,circle,0.03257131576538086,Success
A-J,circle,0.03252720832824707,Success
A-K,circle,0.03256034851074219,Success
A-L,circle,0.03251242637634277,Success
A-M,circle,0.03250885009765625,Success
A-N,circle,0.032497406005859375,Success
A-O,circle,0.03247666358947754,Success
A-P,circle,0.0320892333984375,Success
A-Q,circle,0.03251385688781738,Success
A-R,circle,0.03253579139709473,Success
A-S,circle,0.032544851303100586,Success
A-T,circle,0.03247976303100586,Success
A-U,circle,0.03255200386047363,Success
A-V,circle,0.032036781311035156,Success
A-W,circle,0.03255629539489746,Success
A-X,circle,0.03257131576538086,Success
A-Y,circle,0.03255319595336914,Success
A-Z,circle,0.03254127502441406,Success
