graph_name,test_type,time,result
A-A,fully_connected,0.0318758487701416,Success
A-B,fully_connected,0.03220939636230469,Success
A-C,fully_connected,0.0331573486328125,Success
A-D,fully_connected,0.03199434280395508,Success
A-E,fully_connected,0.031784772872924805,Success
A-F,fully_connected,0.0318603515625,Success
A-G,fully_connected,0.03197336196899414,Success
A-H,fully_connected,0.06393027305603027,Success
A-I,fully_connected,0.3144381046295166,Success
A-J,fully_connected,2.819851875305176,Success
A-K,fully_connected,29.073993682861328,Success
A-L,fully_connected,253.43794798851013,Fail
A-M,fully_connected,125.66137290000916,Fail
A-N,fully_connected,158.6773715019226,Fail
A-O,fully_connected,169.71225309371948,Fail
A-P,fully_connected,150.49562644958496,Fail
A-Q,fully_connected,160.7110140323639,Fail
A-R,fully_connected,157.20622181892395,Fail
A-S,fully_connected,162.67354083061218,Fail
A-T,fully_connected,152.62405252456665,Fail
A-U,fully_connected,161.63877630233765,Fail
A-V,fully_connected,153.7296860218048,Fail
A-W,fully_connected,159.50496983528137,Fail
A-X,fully_connected,157.4317603111267,Fail
A-Y,fully_connected,163.02770924568176,Fail
A-Z,fully_connected,183.91614270210266,Fail
