graph_name,test_type,time,result
A-A,circle,0.03175520896911621,Success
A-B,circle,0.03258323669433594,Success
A-C,circle,0.03250598907470703,Success
A-D,circle,0.03248906135559082,Success
A-E,circle,0.031836748123168945,Success
A-F,circle,0.03246140480041504,Success
A-G,circle,0.03253316879272461,Success
A-H,circle,0.03253507614135742,Success
A-I,circle,0.032363176345825195,Success
A-J,circle,0.03256487846374512,Success
A-K,circle,0.032212018966674805,Success
A-L,circle,0.03183317184448242,Success
A-M,circle,0.03246140480041504,Success
A-N,circle,0.03253006935119629,Success
A-O,circle,0.03223824501037598,Success
A-P,circle,0.03178286552429199,Success
A-Q,circle,0.03247427940368652,Success
A-R,circle,0.0325474739074707,Success
A-S,circle,0.03210616111755371,Success
A-T,circle,0.0322566032409668,Success
A-U,circle,0.032587289810180664,Success
A-V,circle,0.03254342079162598,Success
A-W,circle,0.03259754180908203,Success
A-X,circle,0.032511234283447266,Success
A-Y,circle,0.032533884048461914,Success
A-Z,circle,0.032579660415649414,Success
