graph_name,test_type,time,result
A-A,fully_connected,0.031769752502441406,Success
A-B,fully_connected,0.03252720832824707,Success
A-C,fully_connected,0.03181862831115723,Success
A-D,fully_connected,0.031781911849975586,Success
A-E,fully_connected,0.0318446159362793,Success
A-F,fully_connected,0.032570600509643555,Success
A-G,fully_connected,0.03256392478942871,Success
A-H,fully_connected,0.0639503002166748,Success
A-I,fully_connected,0.3144817352294922,Success
A-J,fully_connected,2.7693698406219482,Success
A-K,fully_connected,28.07197141647339,Success
A-L,fully_connected,221.2001326084137,Fail
A-M,fully_connected,122.96338367462158,Fail
A-N,fully_connected,117.03209710121155,Fail
A-O,fully_connected,121.79117918014526,Fail
A-P,fully_connected,113.63071298599243,Fail
A-Q,fully_connected,116.88289999961853,Fail
A-R,fully_connected,115.08644080162048,Fail
A-S,fully_connected,115.73014903068542,Fail
A-T,fully_connected,110.32201361656189,Fail
A-U,fully_connected,118.39739513397217,Fail
A-V,fully_connected,119.81393384933472,Fail
A-W,fully_connected,120.91707706451416,Fail
A-X,fully_connected,118.806321144104,Fail
A-Y,fully_connected,118.80668139457703,Fail
A-Z,fully_connected,119.81724143028259,Fail
