graph_name,test_type,time,result
2-02,2D_mesh,0.03172755241394043,Success
2-03,2D_mesh,0.03176689147949219,Success
2-04,2D_mesh,0.03189873695373535,Success
2-05,2D_mesh,0.03192019462585449,Success
2-06,2D_mesh,0.0318145751953125,Success
2-07,2D_mesh,0.03182840347290039,Success
2-08,2D_mesh,0.03183317184448242,Success
2-09,2D_mesh,0.03177142143249512,Success
2-10,2D_mesh,0.03184199333190918,Success
2-11,2D_mesh,0.031835317611694336,Success
2-12,2D_mesh,0.06390118598937988,Success
2-13,2D_mesh,0.0639047622680664,Success
3-03,2D_mesh,0.03183102607727051,Success
3-04,2D_mesh,0.03180408477783203,Success
3-05,2D_mesh,0.031829833984375,Success
3-06,2D_mesh,0.03181290626525879,Success
3-07,2D_mesh,0.0639200210571289,Success
3-08,2D_mesh,0.1139991283416748,Success
4-04,2D_mesh,0.03179001808166504,Success
4-05,2D_mesh,0.06398248672485352,Success
4-06,2D_mesh,0.21424365043640137,Success
5-05,2D_mesh,0.4149191379547119,Success
