graph_name,test_type,time,result
A-A,circle,0.03175973892211914,Success
A-B,circle,0.032451629638671875,Success
A-C,circle,0.032413482666015625,Success
A-D,circle,0.032366275787353516,Success
A-E,circle,0.03237128257751465,Success
A-F,circle,0.032453060150146484,Success
A-G,circle,0.03246355056762695,Success
A-H,circle,0.03250455856323242,Success
A-I,circle,0.032585859298706055,Success
A-J,circle,0.03237152099609375,Success
A-K,circle,0.032346487045288086,Success
A-L,circle,0.03261375427246094,Success
A-M,circle,0.03238511085510254,Success
A-N,circle,0.03253936767578125,Success
A-O,circle,0.03261113166809082,Success
A-P,circle,0.03255176544189453,Success
A-Q,circle,0.032562971115112305,Success
A-R,circle,0.0325465202331543,Success
A-S,circle,0.03257179260253906,Success
A-T,circle,0.03252100944519043,Success
A-U,circle,0.03250312805175781,Success
A-V,circle,0.03247356414794922,Success
A-W,circle,0.03250002861022949,Success
A-X,circle,0.03246617317199707,Success
A-Y,circle,0.03249835968017578,Success
A-Z,circle,0.03203892707824707,Success
