graph_name,test_type,time,result
A-A,fully_connected,0.0317440032958984,Success
A-B,fully_connected,0.0318465232849121,Success
A-C,fully_connected,0.0325758457183837,Success
A-D,fully_connected,0.0320665836334228,Success
A-E,fully_connected,0.0319461822509765,Success
A-F,fully_connected,0.0425441265106201,Success
A-G,fully_connected,0.0645239353179931,Success
A-H,fully_connected,0.164802074432373,Success
A-I,fully_connected,6.077502489089966,Success
A-J,fully_connected,600.0,Timeout
A-K,fully_connected,600.0,Timeout
A-L,fully_connected,600.0,Timeout
A-M,fully_connected,600.0,Timeout
A-N,fully_connected,600.0,Timeout
A-O,fully_connected,600.0,Timeout
A-P,fully_connected,600.0,Timeout
A-Q,fully_connected,600.0,Timeout
A-R,fully_connected,600.0,Timeout
A-S,fully_connected,600.0,Timeout
A-T,fully_connected,600.0,Timeout
A-U,fully_connected,600.0,Timeout
A-V,fully_connected,600.0,Timeout
A-W,fully_connected,600.0,Timeout
A-X,fully_connected,300.0,Timeout
A-Y,fully_connected,300.0,Timeout
A-Z,fully_connected,300.0,Timeout
