graph_name,test_type,time,result
2-02,2D_wrap-around_mesh,0.0317504405975341,Success
2-03,2D_wrap-around_mesh,0.0318984985351562,Success
2-04,2D_wrap-around_mesh,0.031768798828125,Success
2-05,2D_wrap-around_mesh,0.2141120433807373,Success
2-06,2D_wrap-around_mesh,16.145484447479248,Success
2-07,2D_wrap-around_mesh,300.0,Timeout
2-08,2D_wrap-around_mesh,300.0,Timeout
2-09,2D_wrap-around_mesh,300.0,Timeout
2-10,2D_wrap-around_mesh,300.0,Timeout
2-11,2D_wrap-around_mesh,300.0,Timeout
2-12,2D_wrap-around_mesh,300.0,Timeout
2-13,2D_wrap-around_mesh,300.0,Timeout
3-03,2D_wrap-around_mesh,0.0638661384582519,Success
3-04,2D_wrap-around_mesh,17.3475558757782,Success
3-05,2D_wrap-around_mesh,300.0,Timeout
3-06,2D_wrap-around_mesh,300.0,Timeout
3-07,2D_wrap-around_mesh,300.0,Timeout
3-08,2D_wrap-around_mesh,300.0,Timeout
4-04,2D_wrap-around_mesh,300.0,Timeout
4-05,2D_wrap-around_mesh,300.0,Timeout
4-06,2D_wrap-around_mesh,300.0,Timeout
5-05,2D_wrap-around_mesh,300.0,Timeout
