graph_name,test_type,time,result
A-A,circle,0.0317955017089843,Success
A-B,circle,0.0318171977996826,Success
A-C,circle,0.0317790508270263,Success
A-D,circle,0.0318338871002197,Success
A-E,circle,0.0325591564178466,Success
A-F,circle,0.0325655937194824,Success
A-G,circle,0.0325276851654052,Success
A-H,circle,0.0317943096160888,Success
A-I,circle,0.0647051334381103,Success
A-J,circle,0.2141392230987548,Success
A-K,circle,1.8172695636749268,Success
A-L,circle,15.689401388168337,Success
A-M,circle,231.839629650116,Success
A-N,circle,600.0,Timeout
A-O,circle,600.0,Timeout
A-P,circle,600.0,Timeout
A-Q,circle,600.0,Timeout
A-R,circle,600.0,Timeout
A-S,circle,600.0,Timeout
A-T,circle,600.0,Timeout
A-U,circle,600.0,Timeout
A-V,circle,600.0,Timeout
A-W,circle,600.0,Timeout
A-X,circle,600.0,Timeout
A-Y,circle,600.0,Timeout
A-Z,circle,600.0,Timeout
