graph_name,test_type,time,result
A-A,fully_connected,0.03179788589477539,Success
A-B,fully_connected,0.03250408172607422,Success
A-C,fully_connected,0.03212118148803711,Success
A-D,fully_connected,0.03249621391296387,Success
A-E,fully_connected,0.032488346099853516,Success
A-F,fully_connected,0.03215432167053223,Success
A-G,fully_connected,0.032601118087768555,Success
A-H,fully_connected,0.06466174125671387,Success
A-I,fully_connected,0.31519150733947754,Success
A-J,fully_connected,2.570030927658081,Success
A-K,fully_connected,28.473029851913452,Success
A-L,fully_connected,264.40002489089966,Fail
A-M,fully_connected,124.65887761116028,Fail
A-N,fully_connected,112.31606030464172,Fail
A-O,fully_connected,120.18119025230408,Fail
A-P,fully_connected,112.16867470741272,Fail
A-Q,fully_connected,117.5785493850708,Fail
A-R,fully_connected,114.72676706314087,Fail
A-S,fully_connected,115.82558536529541,Fail
A-T,fully_connected,110.2630922794342,Fail
A-U,fully_connected,117.18075489997864,Fail
A-V,fully_connected,108.86485552787781,Fail
A-W,fully_connected,115.77756023406982,Fail
A-X,fully_connected,111.07421588897705,Fail
A-Y,fully_connected,113.22290396690369,Fail
A-Z,fully_connected,110.61897444725037,Fail
